,mood,age,gender,school_type,grade_level,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
19,Lost,24,Male,Naturwissenschaft,5,2,With family,None,Ambivert,Single,9:00:00 AM,9:15:00 AM,2:00:00 PM,12:00:00 PM,1:00:00 AM,"Music, Traveling, Programming",No,No,No,4,Often,Sometimes,Regularly,Not at all,Sometimes,Not at all,Sometimes,3,6 to 8,No,0,1,16,Moderate
20,Sad,23,Female,Naturwissenschaft,4,4,With family,None,Introvert,Engaged,10:00:00 AM,11:00:00 AM,4:00:00 PM,1:00:00 PM,1:30:00 AM,None,No,No,No,3,Not at all,Very Often,Regularly,Not at all,Not at all,Sometimes,Not at all,2,more than 8,Yes,0,0,20,Severe
21,Happy,23,Female,Naturwissenschaft,3,5,With family,None,Introvert,Single,6:00:00 AM,8:30:00 AM,2:00:00 AM,2:00:00 PM,12:00:00 PM,"Photography, Traveling, Gardening ",No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Regularly,Sometimes,Not at all,2,3 to 5,No,5-Apr,0,17,Moderate
22,Happy,25,Male,Naturwissenschaft,7,2,With family,None,Extrovert,Single,9:00:00 AM,9:15:00 AM,2:30:00 PM,3:00:00 PM,2:00:00 PM,"Photography, Traveling",Yes,No,No,10,Very Often,Very Often,Sometimes,Not at all,Regularly,Sometimes,Not at all,2,3 to 5,No,3,6,3,None
23,Tensed,22,Female,Naturwissenschaft,4,0,With family,None,Introvert,Single,5:00:00 AM,12:00:00 PM,12:00:00 AM,5:00:00 PM,2:00:00 AM,Music,No,No,No,3,Often,Very Often,Regularly,Not at all,Not at all,Not at all,Not at all,2,more than 8,No,4-Feb,2,10,Moderate
24,Tensed,25,Male,Naturwissenschaft,6,2,With family,None,Ambivert,Single,8:00:00 AM,9:00:00 AM,3:30:00 PM,6:00:00 PM,1:00:00 AM,Painting,No,No,No,4,Often,Sometimes,Not at all,Not at all,Sometimes,Not at all,Not at all,1,3 to 5,Yes,1 or 2 ,1,20,Severe
25,Tensed,24,Female,Wirtschaft,6,1,With family,None,Ambivert,In a relationship,8:30:00 AM,9:00:00 AM,1:30:00 PM,7:00:00 PM,12:00:00 PM,"Music, Painting, Traveling",No,No,No,1,Not at all,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,more than 8,No,Don't know,1,3,None
26,Happy,22,Male,Naturwissenschaft,6,1,With family,None,Introvert,In a relationship,11:00:00 AM,12:00:00 PM,3:00:00 PM,8:00:00 PM,3:00:00 AM,Photography,No,No,No,9,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,3,3 to 5,No,1,0,8,Moderate
27,Happy,22,Male,Naturwissenschaft,6,1,With family,None,Introvert,Single,9:00:00 AM,9:15:00 AM,2:10:00 PM,9:00:00 PM,2:30:00 AM,Programming,No,No,No,3,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Not at all,Often,3,0 to 2,No,2,1,8,Moderate
28,Sad,24,Female,Naturwissenschaft,6,4,With family,Part time,Introvert,Single,11:00:00 AM,11:11:00 AM,3:00:00 PM,10:00:00 PM,2:00:00 AM,"Music, Photography, Painting, Traveling",No,No,No,0,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,0,3 to 5,No,10,1,10,Moderate
29,Tensed,23,Male,Naturwissenschaft,6,2,With family,None,Introvert,Single,7:00:00 AM,10:00:00 AM,4:00:00 PM,11:00:00 PM,1:00:00 AM,"plumbing, woodworking, metalworking",No,No,No,0,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,2,3 to 5,No,0,1,14,Moderate
30,Sad,23,Male,Wirtschaft,4,3,With family,None,Ambivert,Single,6:00:00 AM,7:00:00 AM,2:00:00 PM,12:00:00 AM,2:00:00 AM,None,No,No,No,2,Sometimes,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,1,more than 8,No,7,3,13,Moderate
31,Sad,22,Female,Naturwissenschaft,3,1,With family,Part time,Ambivert,In a relationship,4:00:00 PM,4:00:00 PM,6:00:00 PM,1:00:00 AM,6:00:00 AM,None,No,No,No,3,Often,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,1,2,24,Severe
32,Sad,23,Female,Geisteswissenschaft,6,2,With family,None,Ambivert,Single,11:00:00 AM,12:00:00 PM,3:00:00 PM,2:00:00 AM,3:00:00 AM,None,No,No,No,2,Often,Often,Sometimes,Not at all,Not at all,Not at all,Not at all,3,more than 8,No,1,1,14,Moderate
33,Happy,25,Male,Wirtschaft,4,2,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,2:30:00 AM,3:00:00 AM,2:00:00 AM,Gardening,No,No,No,0,Not at all,Not at all,Regularly,Not at all,Sometimes,Not at all,Not at all,2,6 to 8,No,0,1,15,Moderate
35,Happy,21,Male,Wirtschaft,4,1,With family,None,Ambivert,In a relationship,9:30:00 AM,10:00:00 AM,2:00:00 PM,5:00:00 AM,5:00:00 AM,"Music, Photography, Traveling",Yes,No,No,8,Very Often,Often,Sometimes,Not at all,Sometimes,Not at all,Sometimes,1,more than 8,No,1,1,14,Moderate
36,Happy,20,Male,Wirtschaft,3,0,With family,None,Ambivert,Single,9:30:00 AM,11:00:00 AM,3:00:00 AM,6:00:00 AM,5:00:00 AM,"Music, Photography, Traveling",No,No,No,5,Very Often,Often,Regularly,Not at all,Sometimes,Not at all,Sometimes,2,more than 8,No,1,4,16,Moderate
37,Happy,20,Female,Wirtschaft,4,2,With family,Part time,Extrovert,Single,9:20:00 AM,11:20:00 AM,2:30:00 PM,7:00:00 AM,1:20:00 AM,Traveling,No,No,No,8,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3,6 to 8,No,1,7,8,Moderate
38,Tensed,25,Male,Naturwissenschaft,6,1,With family,None,Introvert,In a relationship,12:30:00 PM,1:00:00 PM,4:00:00 PM,8:00:00 AM,5:00:00 AM,Traveling,No,No,No,2,Often,Not at all,Regularly,Sometimes,Sometimes,Not at all,Not at all,3,more than 8,No,1,1,13,Moderate
39,Tensed,20,Female,Wirtschaft,2,1,With family,None,Introvert,Single,9:40:00 AM,11:00:00 AM,3:00:00 PM,9:00:00 AM,2:00:00 AM,Cooking ,No,No,No,3,Sometimes,Not at all,Sometimes,Not at all,Not at all,Sometimes,Not at all,1,6 to 8,Yes,1,2,12,Moderate
40,Happy,20,Male,Wirtschaft,3,0,With family,Part time,Ambivert,Single,8:00:00 AM,9:00:00 AM,2:00:00 PM,10:00:00 AM,1:00:00 AM,"Photography, Traveling",No,No,No,3,Very Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Very Often,1,3 to 5,No,0.25,0,4,None
41,Happy,24,Female,Naturwissenschaft,5,1,With family,Part time,Ambivert,Single,10:00:00 AM,10:30:00 AM,2:00:00 PM,11:00:00 AM,12:00:00 AM,Dancing,No,No,No,2,Sometimes,Often,Regularly,Not at all,Sometimes,Not at all,Sometimes,1,more than 8,No,1,1,8,Moderate
42,Happy,21,Male,Wirtschaft,4,2,Without family,None,Ambivert,Single,7:50:00 AM,10:30:00 AM,2:00:00 AM,12:00:00 PM,1:00:00 AM,Traveling,No,No,No,3,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,2,6 to 8,No,2,1,8,Moderate
43,Happy,21,Male,Wirtschaft,3,2,With family,Part time,Ambivert,Single,1:00:00 PM,1:00:00 PM,5:00:00 PM,1:00:00 PM,6:00:00 AM,"Photography, Traveling",Yes,No,No,0,Very Often,Very Often,Regularly,Sometimes,Not at all,Not at all,Very Often,1,more than 8,No,2,7,12,Moderate
44,Lost,24,Male,Wirtschaft,6,2,With family,None,Introvert,In a relationship,9:00:00 AM,11:00:00 AM,1:30:00 PM,2:00:00 PM,2:00:00 AM,Programming,Yes,Yes,No,2,Sometimes,Very Often,Sometimes,Not at all,Regularly,Sometimes,Sometimes,2,more than 8,No,2,1,17,Moderate
45,Lost,23,Female,Naturwissenschaft,6,1,With family,None,Introvert,Single,9:00:00 AM,10:00:00 AM,2:30:00 PM,3:00:00 PM,1:00:00 AM,"Music, Dancing, Photography",No,No,No,5,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,3 to 5,No,2,2,6,Moderate
46,Tensed,21,Male,Naturwissenschaft,4,5,With family,None,Ambivert,Single,9:30:00 AM,11:00:00 AM,2:30:00 AM,4:00:00 PM,1:00:00 AM,"Music, Traveling, Programming, Playing cricket  ",No,No,No,5,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,2,0 to 2,No,1,1,8,Moderate
47,Lost,23,Male,Naturwissenschaft,5,1,With family,None,Introvert,Single,9:30:00 AM,10:30:00 AM,2:00:00 AM,5:00:00 PM,4:30:00 AM,None,No,No,No,4,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Sometimes,6,3 to 5,No,2,0,9,Moderate
48,Happy,25,Male,Naturwissenschaft,7,3,Without family,None,Introvert,Single,6:00:00 AM,7:00:00 AM,2:00:00 AM,6:00:00 PM,2:00:00 AM,Programming,No,No,No,5,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Not at all,Not at all,2,6 to 8,No,0,5,1,None
49,Lost,24,Male,Naturwissenschaft,5,1,With family,None,Ambivert,Single,10:00:00 AM,10:30:00 AM,2:00:00 PM,7:00:00 PM,12:00:00 AM,"Traveling, Watching Anime, watching series, Listening music",Yes,No,No,5,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,3,6 to 8,Yes,0,2,16,Moderate
50,Tensed,25,Male,Naturwissenschaft,7,8,Without family,None,Introvert,Single,11:00:00 AM,12:00:00 AM,3:00:00 PM,8:00:00 PM,2:00:00 AM,Sleeping,No,No,No,2,Sometimes,Not at all,Sometimes,Not at all,Sometimes,Not at all,Sometimes,2,6 to 8,No,0,1,11,Moderate
51,Sad,24,Male,Naturwissenschaft,6,3,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,9:00:00 PM,1:30:00 AM,None,No,No,No,3,Often,Very Often,Sometimes,Sometimes,Sometimes,Not at all,Very Often,2,3 to 5,No,1,0,10,Moderate
52,Tensed,21,Male,Naturwissenschaft,3,1,With family,Part time,Introvert,Single,11:00:00 AM,11:00:00 AM,3:30:00 PM,10:00:00 PM,2:00:00 PM,"Programming, Gaming",No,No,No,4,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Very Often,5,3 to 5,No,0,1,11,Moderate
53,Angry,33,Male,Naturwissenschaft,11,1,With family,Part time,Extrovert,Single,8:00:00 AM,8:03:00 AM,2:30:00 PM,11:00:00 PM,11:00:00 PM,"None, Traveling",No,No,No,4,Not at all,Often,Sometimes,Not at all,Not at all,Sometimes,Sometimes,2,3 to 5,Yes,4,1,24,Severe
54,Sad,23,Male,Naturwissenschaft,7,0,Without family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,2:30:00 AM,12:00:00 AM,2:30:00 AM,"Music, Programming",No,Yes,No,2,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Sometimes,Sometimes,3,0 to 2,No,0,0,8,Moderate
55,Happy,21,Female,Naturwissenschaft,3,3,With family,None,Introvert,In a relationship,9:00:00 AM,9:30:00 AM,2:00:00 AM,1:00:00 AM,1:00:00 AM,Traveling,No,No,No,3,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Not at all,5,3 to 5,No,2,2,11,Moderate
56,Happy,18,Male,Naturwissenschaft,1,1,With family,None,Ambivert,Single,9:00:00 AM,9:15:00 AM,2:50:00 PM,2:00:00 AM,2:00:00 AM,Business,No,No,No,8,Often,Often,Regularly,Not at all,Sometimes,Not at all,Sometimes,3,more than 8,No,1,1,10,Moderate
57,Lost,24,Male,Naturwissenschaft,7,4,With family,None,Extrovert,Single,8:00:00 AM,10:00:00 AM,2:30:00 PM,3:00:00 AM,1:00:00 AM,"Photography, Traveling, Driving ",No,No,No,5,Sometimes,Often,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,5,0 to 2,No,0,1,7,Moderate
58,Happy,20,Male,Naturwissenschaft,3,2,With family,None,Extrovert,In a relationship,11:00:00 AM,2:00:00 PM,4:30:00 PM,4:00:00 AM,4:00:00 AM,"Music, Traveling",No,No,No,7,Very Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Very Often,7,6 to 8,No,2,2,13,Moderate
59,Tensed,22,Male,Wirtschaft,3,2,With family,Part time,Ambivert,Single,3:00:00 PM,4:00:00 PM,6:30:00 PM,5:00:00 AM,3:00:00 AM,Gaming,No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Regularly,Not at all,Often,0,6 to 8,Yes,0,1,24,Severe
60,Lost,21,Male,Naturwissenschaft,3,1,With family,None,Extrovert,In a relationship,12:00:00 PM,1:30:00 PM,5:45:00 PM,6:00:00 AM,2:00:00 AM,"Traveling, Gym",No,Yes,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,1,more than 8,No,1,3,12,Moderate
61,Happy,21,Male,Wirtschaft,3,3,With family,Part time,Introvert,Single,12:00:00 PM,1:00:00 PM,3:30:00 PM,7:00:00 AM,3:00:00 AM,Traveling,Yes,No,No,4,Often,Often,Regularly,Sometimes,Sometimes,Sometimes,Sometimes,0,more than 8,No,2,0,9,Moderate
62,Lost,22,Male,Naturwissenschaft,3,3,With family,Part time,Extrovert,In a relationship,12:15:00 PM,12:30:00 PM,4:00:00 PM,8:00:00 AM,4:00:00 AM,"Music, Photography, Traveling, Programming",Yes,Yes,No,0,Very Often,Very Often,Not at all,Not at all,Sometimes,Not at all,Sometimes,2,6 to 8,Yes,1,2,21,Severe
63,Lost,21,Male,Naturwissenschaft,3,1,With family,None,Introvert,Single,12:00:00 PM,1:00:00 PM,6:00:00 PM,9:00:00 AM,4:00:00 AM,None,Yes,No,No,0,Often,Not at all,Not at all,Not at all,Not at all,Not at all,Very Often,1,3 to 5,No,2,2,11,Moderate
64,Tensed,18,Male,Naturwissenschaft,3,3,With family,None,Introvert,Single,12:00:00 PM,12:30:00 PM,2:30:00 PM,10:00:00 AM,4:00:00 AM,Gaming,No,No,No,3,Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Very Often,1,3 to 5,No,0,2,11,Moderate
65,Lost,21,Male,Geisteswissenschaft,4,1,Without family,Part time,Introvert,Single,9:00:00 AM,11:00:00 AM,4:00:00 PM,11:00:00 AM,4:00:00 AM,Reading ,No,No,No,7,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,7,3 to 5,No,5,1,27,Severe
66,Happy,22,Female,Naturwissenschaft,4,2,With family,Part time,Ambivert,Single,10:00:00 AM,11:00:00 AM,2:00:00 PM,12:00:00 PM,2:00:00 AM,"Music, Photography, Painting, Traveling",No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,more than 8,No,2,1,5,Moderate
67,Tensed,24,Female,Wirtschaft,5,1,With family,None,Introvert,Single,10:00:00 AM,11:30:00 AM,3:30:00 PM,1:00:00 PM,5:00:00 AM,"Music, Watching movies",No,No,No,5,Not at all,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Sometimes,3,more than 8,Yes,2,7,19,Moderate
68,Happy,22,Male,Naturwissenschaft,3,1,With family,Part time,Introvert,Single,9:30:00 AM,10:30:00 AM,2:30:00 PM,2:00:00 PM,1:30:00 AM,"Traveling, Programming",No,No,No,4,Often,Often,Regularly,Sometimes,Sometimes,Not at all,Not at all,5,3 to 5,No,0,1,4,None
69,Tensed,21,Female,Wirtschaft,2,3,With family,None,Introvert,Single,8:00:00 AM,10:00:00 AM,3:00:00 PM,3:00:00 PM,1:30:00 AM,"Music, Traveling",No,No,No,0,Not at all,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,1,6 to 8,No,1,1,16,Moderate
70,Happy,21,Female,Wirtschaft,5,1,With family,None,Introvert,In a relationship,9:00:00 AM,11:00:00 AM,3:00:00 PM,4:00:00 PM,2:00:00 AM,None,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,4,2,7,Moderate
71,Lost,23,Male,Naturwissenschaft,6,1,With family,Part time,Introvert,Single,1:00:00 PM,1:30:00 PM,4:00:00 PM,5:00:00 PM,5:00:00 AM,Music,Yes,Yes,Yes,4,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Not at all,Sometimes,2,0 to 2,No,6,6,23,Severe
72,Sad,22,Male,Naturwissenschaft,5,1,With family,None,Ambivert,In a relationship,10:00:00 AM,11:00:00 AM,3:00:00 PM,6:00:00 PM,1:00:00 AM,Programming,Yes,No,No,3,Often,Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,5,3 to 5,No,0,0,10,Moderate
73,Happy,22,Male,Naturwissenschaft,6,1,With family,None,Ambivert,In a relationship,9:30:00 AM,10:30:00 AM,2:00:00 AM,7:00:00 PM,12:00:00 PM,Traveling,No,No,No,7,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,3,more than 8,No,5,1,9,Moderate
74,Lost,23,Female,Naturwissenschaft,5,3,With family,Full time,Ambivert,Single,12:10:00 AM,12:11:00 AM,12:04:00 PM,8:00:00 PM,12:05:00 AM,"Music, Programming",No,No,No,2,Not at all,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,10,3 to 5,No,0,1,6,Moderate
75,Happy,23,Male,Naturwissenschaft,5,2,With family,Part time,Extrovert,Single,9:00:00 AM,10:00:00 AM,1:30:00 PM,9:00:00 PM,2:00:00 AM,"Music, Painting, Traveling",No,No,No,1,Very Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,1,3 to 5,No,4,0,7,Moderate
76,Lost,22,Male,Naturwissenschaft,3,1,With family,Part time,Ambivert,Divorced,9:00:00 AM,10:00:00 AM,2:00:00 PM,10:00:00 PM,4:00:00 AM,"Programming, other",No,Yes,No,3,Often,Sometimes,Sometimes,Sometimes,Regularly,Not at all,Sometimes,6,3 to 5,No,1,10,14,Moderate
77,Happy,23,Male,Geisteswissenschaft,3,0,With family,Part time,Introvert,Single,6:10:00 AM,9:00:00 AM,2:00:00 PM,11:00:00 PM,11:50:00 PM,Photography,Yes,No,No,0,Sometimes,Sometimes,Regularly,Sometimes,Regularly,Sometimes,Sometimes,1,6 to 8,No,10,0,2,None
79,Lost,21,Female,Geisteswissenschaft,3,1,With family,None,Introvert,Single,9:00:00 AM,11:00:00 AM,2:30:00 AM,1:00:00 AM,1:00:00 AM,Music,No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,4,more than 8,No,0,3,24,Severe
81,Sad,23,Male,Naturwissenschaft,6,3,With family,None,Ambivert,Single,12:00:00 PM,12:30:00 PM,5:00:00 PM,3:00:00 AM,3:00:00 AM,"Reading books, keeping pets",No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Regularly,Not at all,Not at all,5,3 to 5,No,4,1,10,Moderate
82,Tensed,24,Male,Naturwissenschaft,4,1,With family,None,Ambivert,Single,10:00:00 AM,10:30:00 AM,4:00:00 PM,4:00:00 AM,3:00:00 AM,Traveling,Yes,No,No,6,Often,Sometimes,Not at all,Not at all,Not at all,Not at all,Often,2,more than 8,No,2,1,17,Moderate
83,Lost,25,Male,Naturwissenschaft,5,2,With family,None,Introvert,In a relationship,10:00:00 AM,11:00:00 AM,4:00:00 PM,5:00:00 AM,2:00:00 AM,Photography,Yes,Yes,Yes,1,Sometimes,Not at all,Sometimes,Regularly,Not at all,Not at all,Often,0,6 to 8,No,5,2,2,None
84,Tensed,25,Male,Naturwissenschaft,6,3,With family,Part time,Ambivert,Single,12:30:00 PM,1:00:00 PM,5:00:00 PM,6:00:00 AM,5:00:00 AM,Photography,Yes,No,No,7,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,2,6 to 8,No,6,1,14,Moderate
86,Lost,22,Female,Geisteswissenschaft,6,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,2:45:00 PM,8:00:00 AM,2:30:00 AM,"Music, Writing",No,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,3,3 to 5,No,4,2,6,Moderate
87,Lost,23,Female,Naturwissenschaft,6,4,With family,None,Introvert,Single,9:30:00 AM,11:15:00 AM,2:30:00 PM,9:00:00 AM,2:30:00 AM,Traveling,No,No,No,3,Often,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Not at all,6,0 to 2,No,4,0,13,Moderate
88,Happy,26,Male,Wirtschaft,6,2,With family,None,Extrovert,In a relationship,7:30:00 AM,10:00:00 AM,3:00:00 PM,10:00:00 AM,2:00:00 AM,Photography,Yes,No,No,5,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,2,0 to 2,No,2,1,10,Moderate
89,Sad,23,Female,Wirtschaft,5,0,With family,None,Introvert,In a relationship,11:00:00 AM,11:30:00 AM,3:00:00 AM,11:00:00 AM,2:30:00 AM,"Photography, Traveling",No,No,No,2,Often,Often,Regularly,Not at all,Sometimes,Not at all,Sometimes,2,6 to 8,No,0,0,8,Moderate
90,Angry,22,Female,Naturwissenschaft,6,1,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,2:00:00 PM,12:00:00 PM,1:00:00 AM,Music,No,No,No,2,Sometimes,Often,Sometimes,Not at all,Sometimes,Not at all,Often,4,3 to 5,No,3,2,5,Moderate
